MÊS,ANO,HOMICÍDIO,LATROCÍNIO,FURTO,ROUBO,ESTELIONATO,POSSE OU PORTE ILEGAL DE ARMAS,POSSE DE INTORPECENTES,TRÁFICO DE INTORPECENTES,LESÃO CORPORAL SEGUIDA DE MORTE
1,2021,152,6,9308,3748,6950,533,1411,1422,3
2,2021,147,1,8584,3285,6961,493,1314,1268,2
3,2021,138,12,8890,3144,8382,560,1449,1576,2
4,2021,132,3,9214,3174,8278,530,1401,1553,1
5,2021,134,3,9012,3242,8052,522,1223,1408,3
6,2021,127,6,9281,3445,8069,486,1178,1331,3
7,2021,141,10,9797,3481,7920,535,1283,1402,2
8,2021,116,4,10075,3417,8024,610,1302,1439,1
9,2021,133,6,9837,3446,7760,460,1376,1434,3
10,2021,131,2,10384,3582,7059,545,1418,1457,6
11,2021,130,2,10208,3265,6991,485,1212,1298,3
12,2021,156,11,10663,3009,7621,515,1377,1304,6
