MÊS,ANO,HOMICÍDIO,LATROCÍNIO,FURTO,ROUBO,ESTELIONATO,POSSE OU PORTE ILEGAL DE ARMAS,POSSE DE INTORPECENTES,TRÁFICO DE INTORPECENTES,LESÃO CORPORAL SEGUIDA DE MORTE
1,2022,155,5,10099,3010,7907,558,1487,1533,5
2,2022,144,5,9742,2836,7324,495,1445,1429,3
3,2022,161,5,11238,3216,8751,557,1484,1418,3
4,2022,123,8,10199,2997,7763,554,1413,1409,2
5,2022,134,5,10666,3289,8564,528,1090,1417,3
6,2022,133,1,10723,3362,8195,499,1084,1361,2
7,2022,128,3,11034,3451,8020,579,1242,1437,5
8,2022,162,3,11242,3114,7926,575,1298,1508,3
9,2022,152,5,10944,2954,7433,511,1031,1177,3
10,2022,142,5,11016,3188,7793,508,1241,1191,5
11,2022,155,1,10499,2854,8025,516,1098,1141,1
12,2022,164,4,10623,2678,7384,536,1372,1254,1
