MÊS,ANO,HOMICÍDIO,LATROCÍNIO,LESÃO CORPORAL SEGUIDA DE MORTE,FURTO,ROUBO,TRÁFICO DE INTORPECENTES,POSSE DE INTORPECENTES
1,2019,152,8,9,13639,4022,1071,1649
2,2019,122,9,4,12466,4091,926,1226
3,2019,160,12,8,13440,4418,1052,1314
4,2019,163,6,4,12998,4437,1081,1232
5,2019,145,11,5,13288,4343,1119,1218
6,2019,127,12,2,12617,4267,1074,1204
7,2019,127,7,4,13251,4128,1062,1219
8,2019,119,7,2,12944,3959,1134,1400
9,2019,179,6,2,12363,3740,1013,1283
10,2019,168,7,4,12809,3827,1040,1175
11,2019,153,10,3,12628,3819,927,1043
12,2019,165,4,5,12627,3683,839,1069
