MÊS,ANO,HOMICÍDIO,LATROCÍNIO,LESÃO CORPORAL SEGUIDA DE MORTE,FURTO,ROUBO,TRÁFICO DE INTORPECENTES,POSSE DE INTORPECENTES
1,2021,185,5,5,12870,2469,1224,1375
2,2021,160,5,6,12315,2290,1078,1136
3,2021,178,7,4,12187,2149,1076,875
4,2021,166,3,3,11947,2133,1138,896
5,2021,153,1,2,12474,2180,1131,875
6,2021,120,4,1,12178,2257,1107,901
7,2021,131,4,1,12993,2270,1115,989
8,2021,149,2,4,13436,2204,1082,973
9,2021,154,4,5,13526,2369,973,933
10,2021,169,3,2,13680,2064,863,881
11,2021,155,2,3,13998,2117,812,724
12,2021,193,1,3,13929,2063,781,816
